BOISE STATE UNIVERSITY | bsuclassof2031
UW MADISON | (no username)
UCONN | (no username)
UNI OF SOUTH CAROLINA | (no username)
UMN TWIN CITIES | umnclassof2031bios
CALPOLY UNIVERSITY | calpoly2031classbios (wanja mundia)
BINGHAMPTON UNIVERSITY | binghampton2031bios
ELON | elon.classof2031
UW MILWAUKEE | (no username)
NC STATE UNIVERSITY | (no username)
TARLETON STATE UNI | tarletonclassof2031
CLEMSON UNIVERSITY | clemson2031bios
SOUTHERN METHODIST UNIVERSITY | smu2031bios
PENN STATE UNIVERSITY | pennstate2031bios_
DEPAUL UNIVERSITY | depaulclassof2031_
OHIO STATE UNIVERSITY | ohiostate2031bios
GEORGIA TECH UNIVERSITY | georgiatech2031class
LIBERTY UNIVERSITY | liberty2031bios
UNIVERSITY OF TOLEDO | utoledo2031class
JAMES MADISON UNIVERSITY | jmu2031classbios
UNIVERSITY OF CENTRAL FLORIDA | ucf2031classbios
UNC WILMINGTON | uncw2031bios
OREGON STATE UNI | oregonstate2031class
OKLAHOMA STATE UNI | okstate2030class__
GEORGE WASHNGTON UNI | gwuclassof2031
SYRACRUSE UNI | syracuseuni2031bios
AUBURN UNI | auburn2031bios_
ARIZONA STATE UNI | asuclassof2031bios
FORDHAM UNI | fordham2031bios
WILLIAM & MARY UNI | williamandmary2031bios
MIZZOU | mizzou2031bios_
FLORIDA ATLANTIC UNI | fau2031bios
UNI OF SOUTH FLORIDA | usf2031bios
UNI OF NORTH GEORGIA | ung2031class
UNI OF WYOMING | wyoming2031class
UNI OF ARIZONA | arizona2031bios
GRAND VALLEY STATE UNI | gvsuclassof2031
VIRGINIA TECH UNI | vt2031class
WINONA STATE UNI | winonastate2031bios
OREGON UNI | uoregon2031class
AUBURN UNI | auburn2031class_
UMICH | umich2031class
JOHNS HOPKINS UNI | jhu2031class
SAN JOSE STATE UNI | sjsuclassof2031
UT AUSTIN | utaustin2031bios
UNI OF NEBRASKA LINCOLN | unl2031class
SANTA CLARA UNI | scu2031class
CORNELL UNI | cornell2031class
UNC CHARLOTTE | uncc2031class
MNSU | mnsu2031class
CENTRAL CONNECTICUT STATE UNI | ccsu2031class_
UNI OF INDIANA | indiana2031bios
BUFFALO STATE UNI | buffalostate2031bios
GRAND CANYON UNI | gcu2031classbios
UNI OF SOUTHERN CALIFORNIA | southerncalifornia2031class
FLORIDA GULF COAST UNI | fgcu2031classbios
TEXAS CHRISTIAN UNI | tcu2031classbios
AUGUSTA UNI | augusta2031bios
QUEENS UNI OF CHARLOTTE | queenscharlotte2031class
UNI OF ALBANY | albany2031class
UNI OF WEST GEORGIA | wgu2031class
UNI OF NOTREDAME | notredame2031classbios
TEXAS STATE UNI | txstu2031class
WEST CAROLINA UNI | westcarolina2031class
UNI OF PENNYSLVANIA | upenn2031bios
IOWA STATE UNI | iowastateuni2031bios
UNI OF ARKANSAS | uarkansas2031class
UNI OF KENTUCKY | ukentucky2031class
FAIRFIELD UNI | fairfield2031bios
QUINNIPIAC UNI | (no username)
ELON UNI | (no username)
NOVA SOUTHEASTERN UNI | (no username)
UNIVERSITY OF IOWA | uiowa2031class
